client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
087edae49ce1e0f600682ceccc7fc28e81e64ae890e647f5cae8940617c32f67f08309aeb5d339d66e072c348d1ae678756c0d2a1892ed8a99ac144f15663f4e	common_voice_ja_22072759.mp3	財布をなくしたので、交番へ行きます。	2	0	teens	female		ja	
15b7d87a73d28b37664fdf7fea1ff232f89e80ce954c9b90df97ceac3c4e2516428c5a86387beac5e88e2c15c153f3320511ba9bda01152f03fc16666a9121af	common_voice_ja_19499629.mp3	新しい靴をはいて出かけます。	2	0				ja	
425f5a46e995ededc3a866f25ac1b5adba06f4ae991d1e33b273dba4f4a48f9286f0c817f98f1fd2b1395dc3385a0f1f5f4bcc966c84c8ef10fbd052b949cf87	common_voice_ja_19984402.mp3	必ずやります。	2	0	twenties	male		ja	
4d037df65974988a11e23c8b1a853f70d3f02607bc3a9a453087ab4e47dbeec1e873c00adf129490de5f4ef6c8cb50eadac7a4b9d6c0265fdfb5ffbc050a3d96	common_voice_ja_21358328.mp3	妹がまだ帰らないので、母は心配しています。	2	0	twenties	male		ja	
6c2b1130c2bc95dd93ee9edca0f4550951e14e09123bd0bd7ea91b1d3261ec88d952d1e191cd6db834593c38836508e30279247b4f04acaf4bbecec9132c433e	common_voice_ja_20946865.mp3	風が強くなりさえしなければいいですよ！	2	0	thirties	male		ja	
6ef3526cdbe5773c8bcfeea7200469067786e3940a5552c10a6f2fbfffc054f5a938ff3ecd8222c4da76f48666949d83863856116c44ebd2c701ae5de2bc608f	common_voice_ja_22219505.mp3	はち	2	0				ja	Singleword Benchmark
84b2e497ddfcc3cd7e7c9652cb9d673b3e109c0b79be1e1b7556a48f68f6852422fa259f3d9dbc533cf9f6e7870e5643558fcff57b0a339caf4690c3c60d9aed	common_voice_ja_20650478.mp3	外国語を勉強するのは難しいです。	2	0				ja	
8d15a5cf215278a9869edb9801b26ef35a7e588077d2b2ee7d4cea75c7187469100c9c1df5dfcf678f9be42399188d703c3a5d0aa56c4bc0a4f72458103db630	common_voice_ja_22307742.mp3	れい	2	0				ja	Singleword Benchmark
c1550c98cd768e824a7394ede788232a3665e4fd5a0fd5dc3a51204639847302fbb38d40b0164ce1378dc8be6676b6980c67e287a82dfb89d324b7407a71f1ee	common_voice_ja_21493990.mp3	いろいろありがとうございました。	2	1				ja	
dc4c7cb2b4b1baac5d54235744d1f7a707ea147492120c8eb8786034679dc881d2b12ed08ff9f1abbe2c8898915f7610b9406433a085e1ff3e9fcd58c8a8a80e	common_voice_ja_19676248.mp3	ぶらぶらと、球場まで十分足らずの道を歩いていく。	2	0	twenties	female		ja	
205155067163a7e1ed4f1c44c19020366bdef34aa7e04af462445b3fe68c556a65408fb858d6bb349a22c35373709e726b873ca828d938ce9a4f09bb61a30ef5	common_voice_ja_20184176.mp3	彼女は彼を思い切りけとばした。	2	0	thirties			ja	
205155067163a7e1ed4f1c44c19020366bdef34aa7e04af462445b3fe68c556a65408fb858d6bb349a22c35373709e726b873ca828d938ce9a4f09bb61a30ef5	common_voice_ja_20184174.mp3	部屋の中に多くの聴衆がいた。	2	1	thirties			ja	
c6db82184d078f118a5916a5d47de9c125be2adf65cf0c254b5dfa86d0d92c041e2ee3314eab4ba1f3f03625a22145cd284cb21a2d77e44696b329e8a2418a8d	common_voice_ja_22247308.mp3	し	2	0				ja	Singleword Benchmark
c6db82184d078f118a5916a5d47de9c125be2adf65cf0c254b5dfa86d0d92c041e2ee3314eab4ba1f3f03625a22145cd284cb21a2d77e44696b329e8a2418a8d	common_voice_ja_22247312.mp3	はち	2	0				ja	Singleword Benchmark
e0509c56e3f2844a433a78177d7a8c77b64aad8d592c4135dbb94956a7a991af8d728d2836d9e92916d4e82b2a92faf2bfe86f16dd344a80022e31e6a8b26731	common_voice_ja_19792531.mp3	暑かったので、家へ帰って、シャワーを浴びました。	2	1	twenties	male		ja	
e0509c56e3f2844a433a78177d7a8c77b64aad8d592c4135dbb94956a7a991af8d728d2836d9e92916d4e82b2a92faf2bfe86f16dd344a80022e31e6a8b26731	common_voice_ja_19792532.mp3	りっぱな大人になりたいです。	2	0	twenties	male		ja	
06fe0935ded73a2f11e14e7f0c77c0fa0fc8038c535978005faabd53555d920d093bd48107b429f5aa32f25eb8c36017f8c236919e29f2273591a834b7028586	common_voice_ja_22207708.mp3	に	2	0				ja	Singleword Benchmark
06fe0935ded73a2f11e14e7f0c77c0fa0fc8038c535978005faabd53555d920d093bd48107b429f5aa32f25eb8c36017f8c236919e29f2273591a834b7028586	common_voice_ja_22207709.mp3	いいえ	2	0				ja	Singleword Benchmark
06fe0935ded73a2f11e14e7f0c77c0fa0fc8038c535978005faabd53555d920d093bd48107b429f5aa32f25eb8c36017f8c236919e29f2273591a834b7028586	common_voice_ja_22207707.mp3	しち	2	0				ja	Singleword Benchmark
06fe0935ded73a2f11e14e7f0c77c0fa0fc8038c535978005faabd53555d920d093bd48107b429f5aa32f25eb8c36017f8c236919e29f2273591a834b7028586	common_voice_ja_22207710.mp3	はい	2	0				ja	Singleword Benchmark
381457c10974ebd9dde81360a795b8661b91b4f856d43e24de36811bb22a2eca0d59c7001040faad4aa26795eb7880d3b548a06e6e0b2b699c4cf95e2dfbb96c	common_voice_ja_19701169.mp3	部屋は全く整頓されていなかった。	2	0	teens	male		ja	
381457c10974ebd9dde81360a795b8661b91b4f856d43e24de36811bb22a2eca0d59c7001040faad4aa26795eb7880d3b548a06e6e0b2b699c4cf95e2dfbb96c	common_voice_ja_19701172.mp3	父は母を愛している。	2	0	teens	male		ja	
381457c10974ebd9dde81360a795b8661b91b4f856d43e24de36811bb22a2eca0d59c7001040faad4aa26795eb7880d3b548a06e6e0b2b699c4cf95e2dfbb96c	common_voice_ja_19701171.mp3	布に応じて衣服を裁て。	2	0	teens	male		ja	
381457c10974ebd9dde81360a795b8661b91b4f856d43e24de36811bb22a2eca0d59c7001040faad4aa26795eb7880d3b548a06e6e0b2b699c4cf95e2dfbb96c	common_voice_ja_19701173.mp3	父は私の弟を掌中の玉のようにかわいがった。	2	0	teens	male		ja	
4266f6c611fca10d9c2c1c2c0b88d0c0daff1b40974d87f14006140b907f7318217d83f41822a47ad59c40527fdaa109cd589408027c7d896ab59e3259af8dc3	common_voice_ja_20453565.mp3	複写機の紙を切らしたよ。	2	0	twenties	male		ja	
4266f6c611fca10d9c2c1c2c0b88d0c0daff1b40974d87f14006140b907f7318217d83f41822a47ad59c40527fdaa109cd589408027c7d896ab59e3259af8dc3	common_voice_ja_20453567.mp3	彼女は疲れていたけれども、その仕事を仕上げようとした。	2	0	twenties	male		ja	
4266f6c611fca10d9c2c1c2c0b88d0c0daff1b40974d87f14006140b907f7318217d83f41822a47ad59c40527fdaa109cd589408027c7d896ab59e3259af8dc3	common_voice_ja_20453570.mp3	風邪は抜けない。	2	0	twenties	male		ja	
4266f6c611fca10d9c2c1c2c0b88d0c0daff1b40974d87f14006140b907f7318217d83f41822a47ad59c40527fdaa109cd589408027c7d896ab59e3259af8dc3	common_voice_ja_20453571.mp3	彼女を驚かせようという考えが突然私の頭にひらめいた。	2	0	twenties	male		ja	
463a90da9db7c742ce2e9399d5375fb9129fcf3baf80b08878512196886c7ddc565ff98f6a96071991bdcefc0955ce9de2c77585a3d13524b7b415365670f10f	common_voice_ja_20088745.mp3	小林さんは青い傘を持っています。	2	0				ja	
463a90da9db7c742ce2e9399d5375fb9129fcf3baf80b08878512196886c7ddc565ff98f6a96071991bdcefc0955ce9de2c77585a3d13524b7b415365670f10f	common_voice_ja_20088746.mp3	父はまだ帰っていません。	2	0				ja	
463a90da9db7c742ce2e9399d5375fb9129fcf3baf80b08878512196886c7ddc565ff98f6a96071991bdcefc0955ce9de2c77585a3d13524b7b415365670f10f	common_voice_ja_20088747.mp3	もっと安い服を買います。	2	1				ja	
463a90da9db7c742ce2e9399d5375fb9129fcf3baf80b08878512196886c7ddc565ff98f6a96071991bdcefc0955ce9de2c77585a3d13524b7b415365670f10f	common_voice_ja_20088744.mp3	窓口でお金の振り込みをします。	2	0				ja	
60bb2603ade05c83a1cd01a86e64f3df8d7fda0f698c77b4517a9bbf78e5ac33836a18d26d29604a8f34fa83c8dcbfcf3d5293ce67df4beab82ecb54095ba7f4	common_voice_ja_20472569.mp3	海外で働きたいと思っているんです。	2	1	twenties	male		ja	
60bb2603ade05c83a1cd01a86e64f3df8d7fda0f698c77b4517a9bbf78e5ac33836a18d26d29604a8f34fa83c8dcbfcf3d5293ce67df4beab82ecb54095ba7f4	common_voice_ja_20472567.mp3	ここに物を置いてはいけません。	2	1	twenties	male		ja	
60bb2603ade05c83a1cd01a86e64f3df8d7fda0f698c77b4517a9bbf78e5ac33836a18d26d29604a8f34fa83c8dcbfcf3d5293ce67df4beab82ecb54095ba7f4	common_voice_ja_20472562.mp3	彼女は料理が上手ではない。	2	1	twenties	male		ja	
60bb2603ade05c83a1cd01a86e64f3df8d7fda0f698c77b4517a9bbf78e5ac33836a18d26d29604a8f34fa83c8dcbfcf3d5293ce67df4beab82ecb54095ba7f4	common_voice_ja_20472564.mp3	文化は国々によって異なる。	2	1	twenties	male		ja	
